date,office,candidate,party,reporting_level,jurisdiction,county,votes,percentage
2002-06-11,State Representative District 032,Martha S. McCaskill,Republican,contest,Arkansas,,539,44.22
2002-06-11,State Representative District 032,Sid Rosenbaum,Republican,contest,Arkansas,,680,55.78
2002-06-11,State Representative District 081,Senator Gary D. Hunter,Republican,contest,Arkansas,,750,35.03
2002-06-11,State Representative District 081,Johnny Key,Republican,contest,Arkansas,,1391,64.97
2002-06-11,State Representative District 100,Clint Earl Holloway,Republican,contest,Arkansas,,706,37.94
2002-06-11,State Representative District 100,Daryl Pace,Republican,contest,Arkansas,,1155,62.06
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,contest,Arkansas,,42198,43.17
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,contest,Arkansas,,55542,56.83
2002-06-11,State Representative District 007,Elizabeth Eppinette,Democrat,contest,Arkansas,,690,37.89
2002-06-11,State Representative District 007,Robert Neal Jeffrey,Democrat,contest,Arkansas,,1131,62.11
2002-06-11,State Representative District 010,Greg Fallon,Democrat,contest,Arkansas,,2055,41.67
2002-06-11,State Representative District 010,Representative Jerry Taylor,Democrat,contest,Arkansas,,2877,58.33
2002-06-11,State Representative District 045,Betty Pickett,Democrat,contest,Arkansas,,473,53.57
2002-06-11,State Representative District 045,Carl Roebuck,Democrat,contest,Arkansas,,410,46.43
2002-06-11,State Representative District 049,Marion Mills Craig,Democrat,contest,Arkansas,,798,43.73
2002-06-11,State Representative District 049,Mark Pate,Democrat,contest,Arkansas,,1027,56.27
2002-06-11,State Representative District 053,Charles Suiter Jr,Democrat,contest,Arkansas,,519,46.55
2002-06-11,State Representative District 053,Denny Sumpter,Democrat,contest,Arkansas,,596,53.45
2002-06-11,State Representative District 074,Gene Roebuck,Democrat,contest,Arkansas,,1002,33.44
2002-06-11,State Representative District 074,Chris Thyer,Democrat,contest,Arkansas,,1994,66.56
2002-06-11,"Prosecuting Attorney, District 03",City Attorney Henry H. Boyce,Democrat,contest,Arkansas,,5469,61.09
2002-06-11,"Prosecuting Attorney, District 03",Stewart K. Lambert,Democrat,contest,Arkansas,,3483,38.91
2002-06-11,State Representative District 081,Senator Gary D. Hunter,Republican,county,Baxter County,Baxter County,750,35.03
2002-06-11,State Representative District 081,Johnny Key,Republican,county,Baxter County,Baxter County,1391,64.97
2002-06-11,State Representative District 081,Total over votes,Republican,county,Baxter County,Baxter County,0,
2002-06-11,State Representative District 081,Total under votes,Republican,county,Baxter County,Baxter County,19,
2002-06-11,State Representative District 100,Daryl Pace,Republican,county,Benton County,Benton County,1155,62.06
2002-06-11,State Representative District 100,Clint Earl Holloway,Republican,county,Benton County,Benton County,706,37.94
2002-06-11,State Representative District 100,Total over votes,Republican,county,Benton County,Benton County,0,
2002-06-11,State Representative District 100,Total under votes,Republican,county,Benton County,Benton County,275,
2002-06-11,State Representative District 032,Sid Rosenbaum,Republican,county,Pulaski County,Pulaski County,680,55.78
2002-06-11,State Representative District 032,Martha S. McCaskill,Republican,county,Pulaski County,Pulaski County,539,44.22
2002-06-11,State Representative District 032,Total over votes,Republican,county,Pulaski County,Pulaski County,0,
2002-06-11,State Representative District 032,Total under votes,Republican,county,Pulaski County,Pulaski County,0,
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Arkansas County,Arkansas County,1059,39.96
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Arkansas County,Arkansas County,1591,60.04
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Arkansas County,Arkansas County,0,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Arkansas County,Arkansas County,0,
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Ashley County,Ashley County,1087,35.05
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Ashley County,Ashley County,2014,64.95
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Ashley County,Ashley County,0,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Ashley County,Ashley County,269,
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Baxter County,Baxter County,210,79.55
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Baxter County,Baxter County,54,20.45
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Baxter County,Baxter County,0,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Baxter County,Baxter County,10,
2002-06-11,Commissioner of State Lands,Representative George French,Democrat,county,Benton County,Benton County,196,50.39
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Benton County,Benton County,193,49.61
2002-06-11,Commissioner of State Lands,Total over votes,Democrat,county,Benton County,Benton County,4,
2002-06-11,Commissioner of State Lands,Total under votes,Democrat,county,Benton County,Benton County,18,
2002-06-11,Commissioner of State Lands,Mark Wilcox,Democrat,county,Boone County,Boone County,251,85.67
