county,precinct,office,district,party,candidate,votes,provisional,early_vote,absentee,election_day
Grant,Calvert-1,U.S. Senate,,LIB,Kenneth Cates,10,0,6,1,3
Grant,Calvert-2,U.S. Senate,,LIB,Kenneth Cates,16,0,8,0,8
Grant,Davis-1,U.S. Senate,,LIB,Kenneth Cates,0,0,0,0,0
Grant,Davis-2,U.S. Senate,,LIB,Kenneth Cates,4,0,2,0,2
Grant,DeKalb 1,U.S. Senate,,LIB,Kenneth Cates,1,0,0,0,1
Grant,DeKalb 2,U.S. Senate,,LIB,Kenneth Cates,4,0,1,0,3
Grant,Darysaw,U.S. Senate,,LIB,Kenneth Cates,5,0,1,0,4
Grant,Fenter-1,U.S. Senate,,LIB,Kenneth Cates,5,0,1,0,4
Grant,Fenter-2,U.S. Senate,,LIB,Kenneth Cates,8,0,2,0,6
Grant,Franklin,U.S. Senate,,LIB,Kenneth Cates,3,0,2,0,1
Grant,Madison,U.S. Senate,,LIB,Kenneth Cates,8,0,4,0,4
Grant,Merry Green 1-1,U.S. Senate,,LIB,Kenneth Cates,0,0,0,0,0
Grant,Merry Green 1-2,U.S. Senate,,LIB,Kenneth Cates,13,0,11,0,2
Grant,Merry Green 2-1,U.S. Senate,,LIB,Kenneth Cates,13,0,11,0,2
Grant,Merry Green 2-2,U.S. Senate,,LIB,Kenneth Cates,3,0,1,0,2
Grant,Merry Green 2-3,U.S. Senate,,LIB,Kenneth Cates,0,0,0,0,0
Grant,River-1,U.S. Senate,,LIB,Kenneth Cates,11,0,1,0,10
Grant,River-2,U.S. Senate,,LIB,Kenneth Cates,4,0,2,0,2
Grant,River-3,U.S. Senate,,LIB,Kenneth Cates,3,0,2,0,1
Grant,Simpson 1-1,U.S. Senate,,LIB,Kenneth Cates,11,0,4,0,7
Grant,Simpson 1-2,U.S. Senate,,LIB,Kenneth Cates,2,0,1,0,1
Grant,Simpson 2-1,U.S. Senate,,LIB,Kenneth Cates,7,0,3,0,4
Grant,Simpson 2-2,U.S. Senate,,LIB,Kenneth Cates,6,0,1,0,5
Grant,Tennessee-1,U.S. Senate,,LIB,Kenneth Cates,1,0,0,0,1
Grant,Tennessee-2,U.S. Senate,,LIB,Kenneth Cates,6,0,1,1,4
Grant,Washington,U.S. Senate,,LIB,Kenneth Cates,13,0,7,0,6
Grant,Ward 1-1,U.S. Senate,,LIB,Kenneth Cates,19,0,8,1,10
Grant,Ward 1-2,U.S. Senate,,LIB,Kenneth Cates,0,0,0,0,0
