county,precinct,office,district,party,candidate,votes,early_vote,absentee,election_day
Cleburne,NORTH CADRON INSIDE,U.S. Senate,,LIB,Kenneth Cates,8,1,0,7
Cleburne,NORTH CADRON OUTSIDE,U.S. Senate,,LIB,Kenneth Cates,9,2,0,7
Cleburne,SOUTH CADRON INSIDE,U.S. Senate,,LIB,Kenneth Cates,9,2,0,7
Cleburne,SOUTH CADRON OUTSIDE,U.S. Senate,,LIB,Kenneth Cates,6,4,0,2
Cleburne,CALIFORNIA,U.S. Senate,,LIB,Kenneth Cates,2,2,0,0
Cleburne,CENTER POST,U.S. Senate,,LIB,Kenneth Cates,9,5,1,3
Cleburne,CLAYTON,U.S. Senate,,LIB,Kenneth Cates,13,6,0,7
Cleburne,FRANCIS,U.S. Senate,,LIB,Kenneth Cates,9,4,1,4
Cleburne,GRASSEY INSIDE,U.S. Senate,,LIB,Kenneth Cates,2,1,0,1
Cleburne,GRASSEY OUTSIDE,U.S. Senate,,LIB,Kenneth Cates,9,1,0,8
Cleburne,GREERS FERRY GILES,U.S. Senate,,LIB,Kenneth Cates,10,2,0,8
Cleburne,GILES,U.S. Senate,,LIB,Kenneth Cates,8,2,0,6
Cleburne,HEALING SPRINGS,U.S. Senate,,LIB,Kenneth Cates,13,7,0,6
Cleburne,HEBER SPRINGS WARD 1,U.S. Senate,,LIB,Kenneth Cates,21,11,0,10
Cleburne,HEBER SPRINGS WARD 2,U.S. Senate,,LIB,Kenneth Cates,18,16,0,2
Cleburne,HEBER SPRINGS WARD 3,U.S. Senate,,LIB,Kenneth Cates,16,6,1,9
Cleburne,HEBER SPRINGS WARD 4,U.S. Senate,,LIB,Kenneth Cates,23,9,0,14
Cleburne,HEBER SPRINGS OUTSIDE,U.S. Senate,,LIB,Kenneth Cates,47,34,0,13
Cleburne,MCJESTER,U.S. Senate,,LIB,Kenneth Cates,4,2,0,2
Cleburne,MORGAN OUTSIDE,U.S. Senate,,LIB,Kenneth Cates,2,0,0,2
Cleburne,MOUNTAIN,U.S. Senate,,LIB,Kenneth Cates,14,7,0,7
Cleburne,EAST PETER CREEK,U.S. Senate,,LIB,Kenneth Cates,11,3,0,8
Cleburne,WEST PETER CREEK,U.S. Senate,,LIB,Kenneth Cates,16,8,0,8
Cleburne,PICKENS,U.S. Senate,,LIB,Kenneth Cates,5,3,0,2
Cleburne,PINE,U.S. Senate,,LIB,Kenneth Cates,3,1,0,2
Cleburne,PINEY,U.S. Senate,,LIB,Kenneth Cates,20,8,0,12
Cleburne,POFF,U.S. Senate,,LIB,Kenneth Cates,0,0,0,0
Cleburne,SALINE INSIDE,U.S. Senate,,LIB,Kenneth Cates,2,0,0,2
Cleburne,SALINE OUTSIDE,U.S. Senate,,LIB,Kenneth Cates,5,3,0,2
Cleburne,SUGAR CAMP,U.S. Senate,,LIB,Kenneth Cates,9,0,0,9
Cleburne,SUGAR LOAF,U.S. Senate,,LIB,Kenneth Cates,13,7,0,6
Cleburne,VALLEY,U.S. Senate,,LIB,Kenneth Cates,4,4,0,0
Cleburne,WILBURN,U.S. Senate,,LIB,Kenneth Cates,4,0,0,4
Cleburne,MORGAN INSIDE,U.S. Senate,,LIB,Kenneth Cates,4,1,0,3
Cleburne,NORTH CADRON INSIDE,U.S. Senate,,REP,Senator John Boozman,84,24,0,60
Cleburne,NORTH CADRON OUTSIDE,U.S. Senate,,REP,Senator John Boozman,192,78,0,114
Cleburne,SOUTH CADRON INSIDE,U.S. Senate,,REP,Senator John Boozman,113,27,1,85
Cleburne,SOUTH CADRON OUTSIDE,U.S. Senate,,REP,Senator John Boozman,171,76,4,91
Cleburne,CALIFORNIA,U.S. Senate,,REP,Senator John Boozman,143,52,1,90
Cleburne,CENTER POST,U.S. Senate,,REP,Senator John Boozman,251,112,2,137
Cleburne,CLAYTON,U.S. Senate,,REP,Senator John Boozman,362,172,2,188
Cleburne,FRANCIS,U.S. Senate,,REP,Senator John Boozman,267,113,4,150
Cleburne,GRASSEY INSIDE,U.S. Senate,,REP,Senator John Boozman,60,9,3,48
Cleburne,GRASSEY OUTSIDE,U.S. Senate,,REP,Senator John Boozman,251,53,0,198
Cleburne,GREERS FERRY GILES,U.S. Senate,,REP,Senator John Boozman,305,71,3,231
Cleburne,GILES,U.S. Senate,,REP,Senator John Boozman,236,60,0,176
Cleburne,HEALING SPRINGS,U.S. Senate,,REP,Senator John Boozman,310,76,4,230
Cleburne,HEBER SPRINGS WARD 1,U.S. Senate,,REP,Senator John Boozman,400,268,5,127
Cleburne,HEBER SPRINGS WARD 2,U.S. Senate,,REP,Senator John Boozman,385,257,13,115
Cleburne,HEBER SPRINGS WARD 3,U.S. Senate,,REP,Senator John Boozman,575,407,9,159
Cleburne,HEBER SPRINGS WARD 4,U.S. Senate,,REP,Senator John Boozman,478,285,9,184
Cleburne,HEBER SPRINGS OUTSIDE,U.S. Senate,,REP,Senator John Boozman,980,680,15,285
Cleburne,MCJESTER,U.S. Senate,,REP,Senator John Boozman,135,58,6,71
Cleburne,MORGAN OUTSIDE,U.S. Senate,,REP,Senator John Boozman,141,31,4,106
Cleburne,MOUNTAIN,U.S. Senate,,REP,Senator John Boozman,282,131,1,150
