county,precinct,office,district,party,candidate,votes,early_vote,absentee,election_day
Faulkner,Pct 1,U.S. Senate,,DEM,Natalie James,387,278,5,104
Faulkner,Pct 2,U.S. Senate,,DEM,Natalie James,293,227,9,57
Faulkner,Pct 3,U.S. Senate,,DEM,Natalie James,482,349,10,123
Faulkner,Pct 4,U.S. Senate,,DEM,Natalie James,246,158,8,80
Faulkner,Pct 5,U.S. Senate,,DEM,Natalie James,451,357,7,87
Faulkner,Pct 6,U.S. Senate,,DEM,Natalie James,358,274,6,78
Faulkner,Pct 7,U.S. Senate,,DEM,Natalie James,251,171,11,69
Faulkner,Pct 8,U.S. Senate,,DEM,Natalie James,121,93,4,24
Faulkner,Pct 9,U.S. Senate,,DEM,Natalie James,424,329,18,77
Faulkner,Pct 10,U.S. Senate,,DEM,Natalie James,478,369,8,101
Faulkner,Pct 11,U.S. Senate,,DEM,Natalie James,459,323,16,120
Faulkner,Pct 12,U.S. Senate,,DEM,Natalie James,370,263,2,105
Faulkner,Pct 13,U.S. Senate,,DEM,Natalie James,357,204,9,144
Faulkner,Pct 14,U.S. Senate,,DEM,Natalie James,77,59,6,12
Faulkner,Pct 15,U.S. Senate,,DEM,Natalie James,50,37,0,13
Faulkner,Pct 16,U.S. Senate,,DEM,Natalie James,57,22,4,31
Faulkner,Pct 17,U.S. Senate,,DEM,Natalie James,15,2,0,13
Faulkner,Pct 18,U.S. Senate,,DEM,Natalie James,132,73,5,54
Faulkner,Pct 19,U.S. Senate,,DEM,Natalie James,252,164,3,85
Faulkner,Pct 21,U.S. Senate,,DEM,Natalie James,221,165,2,54
Faulkner,Pct 22,U.S. Senate,,DEM,Natalie James,135,92,4,39
Faulkner,Pct 23,U.S. Senate,,DEM,Natalie James,243,201,2,40
Faulkner,Pct 24,U.S. Senate,,DEM,Natalie James,219,167,0,52
Faulkner,Pct 25,U.S. Senate,,DEM,Natalie James,160,118,3,39
Faulkner,Pct 26,U.S. Senate,,DEM,Natalie James,189,140,2,47
Faulkner,Pct 27,U.S. Senate,,DEM,Natalie James,24,10,1,13
Faulkner,Pct 28,U.S. Senate,,DEM,Natalie James,156,122,4,30
Faulkner,Pct 29,U.S. Senate,,DEM,Natalie James,170,113,3,54
Faulkner,Pct 30,U.S. Senate,,DEM,Natalie James,34,19,1,14
Faulkner,Pct 31,U.S. Senate,,DEM,Natalie James,35,13,2,20
Faulkner,Pct 32,U.S. Senate,,DEM,Natalie James,15,5,0,10
Faulkner,Pct 33,U.S. Senate,,DEM,Natalie James,33,6,0,27
Faulkner,Pct 34,U.S. Senate,,DEM,Natalie James,61,24,1,36
Faulkner,Pct 35,U.S. Senate,,DEM,Natalie James,91,62,5,24
Faulkner,Pct 36,U.S. Senate,,DEM,Natalie James,363,233,9,121
Faulkner,Pct 37,U.S. Senate,,DEM,Natalie James,127,77,7,43
Faulkner,Pct 38,U.S. Senate,,DEM,Natalie James,95,45,1,49
Faulkner,Pct 39,U.S. Senate,,DEM,Natalie James,233,139,5,89
Faulkner,Pct 40,U.S. Senate,,DEM,Natalie James,456,298,11,147
Faulkner,Pct 41,U.S. Senate,,DEM,Natalie James,203,93,3,107
Faulkner,Pct 42,U.S. Senate,,DEM,Natalie James,455,309,9,137
Faulkner,Pct 43,U.S. Senate,,DEM,Natalie James,604,463,10,131
Faulkner,Pct 44,U.S. Senate,,DEM,Natalie James,458,378,9,71
Faulkner,Pct 45,U.S. Senate,,DEM,Natalie James,184,141,4,39
Faulkner,Pct 46,U.S. Senate,,DEM,Natalie James,367,296,13,58
Faulkner,Pct 48,U.S. Senate,,DEM,Natalie James,335,251,6,78
Faulkner,Pct 49,U.S. Senate,,DEM,Natalie James,395,288,4,103
Faulkner,Pct 50,U.S. Senate,,DEM,Natalie James,433,331,12,90
Faulkner,Pct 53,U.S. Senate,,DEM,Natalie James,252,189,8,55
Faulkner,Pct 54,U.S. Senate,,DEM,Natalie James,149,104,4,41
Faulkner,Pct 55,U.S. Senate,,DEM,Natalie James,102,69,1,32
Faulkner,Pct 12.9,U.S. Senate,,DEM,Natalie James,0,0,0,0
Faulkner,Pct 14.6,U.S. Senate,,DEM,Natalie James,0,0,0,0
Faulkner,Pct 36.6,U.S. Senate,,DEM,Natalie James,0,0,0,0
Faulkner,Pct 1,U.S. Senate,,LIB,Kenneth Cates,33,22,0,11
Faulkner,Pct 2,U.S. Senate,,LIB,Kenneth Cates,21,14,0,7
Faulkner,Pct 3,U.S. Senate,,LIB,Kenneth Cates,38,22,0,16
Faulkner,Pct 4,U.S. Senate,,LIB,Kenneth Cates,22,13,0,9
Faulkner,Pct 5,U.S. Senate,,LIB,Kenneth Cates,41,28,0,13
Faulkner,Pct 6,U.S. Senate,,LIB,Kenneth Cates,38,24,0,14
Faulkner,Pct 7,U.S. Senate,,LIB,Kenneth Cates,13,5,0,8
Faulkner,Pct 8,U.S. Senate,,LIB,Kenneth Cates,14,12,0,2
Faulkner,Pct 9,U.S. Senate,,LIB,Kenneth Cates,46,31,1,14
Faulkner,Pct 10,U.S. Senate,,LIB,Kenneth Cates,46,36,1,9
Faulkner,Pct 11,U.S. Senate,,LIB,Kenneth Cates,41,22,1,18
Faulkner,Pct 12,U.S. Senate,,LIB,Kenneth Cates,76,46,0,30
Faulkner,Pct 13,U.S. Senate,,LIB,Kenneth Cates,42,16,0,26
Faulkner,Pct 14,U.S. Senate,,LIB,Kenneth Cates,2,1,0,1
Faulkner,Pct 15,U.S. Senate,,LIB,Kenneth Cates,13,8,0,5
Faulkner,Pct 16,U.S. Senate,,LIB,Kenneth Cates,19,5,1,13
Faulkner,Pct 17,U.S. Senate,,LIB,Kenneth Cates,4,1,0,3
Faulkner,Pct 18,U.S. Senate,,LIB,Kenneth Cates,31,17,0,14
Faulkner,Pct 19,U.S. Senate,,LIB,Kenneth Cates,37,20,0,17
Faulkner,Pct 21,U.S. Senate,,LIB,Kenneth Cates,64,47,0,17
Faulkner,Pct 22,U.S. Senate,,LIB,Kenneth Cates,56,34,0,22
Faulkner,Pct 23,U.S. Senate,,LIB,Kenneth Cates,24,13,0,11
Faulkner,Pct 24,U.S. Senate,,LIB,Kenneth Cates,35,26,0,9
Faulkner,Pct 25,U.S. Senate,,LIB,Kenneth Cates,45,28,1,16
Faulkner,Pct 26,U.S. Senate,,LIB,Kenneth Cates,45,21,0,24
Faulkner,Pct 27,U.S. Senate,,LIB,Kenneth Cates,10,3,0,7
Faulkner,Pct 28,U.S. Senate,,LIB,Kenneth Cates,25,19,0,6
Faulkner,Pct 29,U.S. Senate,,LIB,Kenneth Cates,48,30,0,18
Faulkner,Pct 30,U.S. Senate,,LIB,Kenneth Cates,13,4,0,9
Faulkner,Pct 31,U.S. Senate,,LIB,Kenneth Cates,13,8,0,5
Faulkner,Pct 32,U.S. Senate,,LIB,Kenneth Cates,8,4,0,4
Faulkner,Pct 33,U.S. Senate,,LIB,Kenneth Cates,8,1,0,7
Faulkner,Pct 34,U.S. Senate,,LIB,Kenneth Cates,8,4,0,4
Faulkner,Pct 35,U.S. Senate,,LIB,Kenneth Cates,19,14,0,5
Faulkner,Pct 36,U.S. Senate,,LIB,Kenneth Cates,44,21,0,23
Faulkner,Pct 37,U.S. Senate,,LIB,Kenneth Cates,23,14,0,9
Faulkner,Pct 38,U.S. Senate,,LIB,Kenneth Cates,7,1,0,6
Faulkner,Pct 39,U.S. Senate,,LIB,Kenneth Cates,46,25,0,21
Faulkner,Pct 40,U.S. Senate,,LIB,Kenneth Cates,40,24,2,14
Faulkner,Pct 41,U.S. Senate,,LIB,Kenneth Cates,12,6,1,5
Faulkner,Pct 42,U.S. Senate,,LIB,Kenneth Cates,45,29,0,16
Faulkner,Pct 43,U.S. Senate,,LIB,Kenneth Cates,51,34,0,17
Faulkner,Pct 44,U.S. Senate,,LIB,Kenneth Cates,27,17,1,9
Faulkner,Pct 45,U.S. Senate,,LIB,Kenneth Cates,20,14,2,4
Faulkner,Pct 46,U.S. Senate,,LIB,Kenneth Cates,41,26,2,13
Faulkner,Pct 48,U.S. Senate,,LIB,Kenneth Cates,30,16,0,14
Faulkner,Pct 49,U.S. Senate,,LIB,Kenneth Cates,26,18,1,7
Faulkner,Pct 50,U.S. Senate,,LIB,Kenneth Cates,46,35,0,11
Faulkner,Pct 53,U.S. Senate,,LIB,Kenneth Cates,28,22,1,5
Faulkner,Pct 54,U.S. Senate,,LIB,Kenneth Cates,12,7,0,5
Faulkner,Pct 55,U.S. Senate,,LIB,Kenneth Cates,30,20,1,9
Faulkner,Pct 12.9,U.S. Senate,,LIB,Kenneth Cates,0,0,0,0
Faulkner,Pct 14.6,U.S. Senate,,LIB,Kenneth Cates,0,0,0,0
Faulkner,Pct 36.6,U.S. Senate,,LIB,Kenneth Cates,0,0,0,0
Faulkner,Pct 1,U.S. Senate,,REP,Senator John Boozman,444,328,20,96
Faulkner,Pct 2,U.S. Senate,,REP,Senator John Boozman,263,194,9,60
Faulkner,Pct 3,U.S. Senate,,REP,Senator John Boozman,609,472,11,126
Faulkner,Pct 4,U.S. Senate,,REP,Senator John Boozman,137,103,3,31
Faulkner,Pct 5,U.S. Senate,,REP,Senator John Boozman,846,674,15,157
Faulkner,Pct 6,U.S. Senate,,REP,Senator John Boozman,243,172,7,64
Faulkner,Pct 7,U.S. Senate,,REP,Senator John Boozman,122,88,6,28
