county,precinct,office,district,party,candidate,votes,provisional,early_voting,absentee,election_day
Ashley,CW1,U.S. Senate,,REP,Senator John Boozman,147,0,94,3,50
Ashley,CW2,U.S. Senate,,REP,Senator John Boozman,211,0,123,15,73
Ashley,CW3,U.S. Senate,,REP,Senator John Boozman,481,0,310,7,164
Ashley,NCE,U.S. Senate,,REP,Senator John Boozman,276,1,141,5,129
Ashley,NCW,U.S. Senate,,REP,Senator John Boozman,157,0,81,5,71
Ashley,WCR,U.S. Senate,,REP,Senator John Boozman,269,0,161,1,107
Ashley,VOTECH,U.S. Senate,,REP,Senator John Boozman,153,0,79,0,74
Ashley,COOTER,U.S. Senate,,REP,Senator John Boozman,140,0,47,1,92
Ashley,HICKORY GROVE,U.S. Senate,,REP,Senator John Boozman,328,0,225,3,100
Ashley,CROSSROADS,U.S. Senate,,REP,Senator John Boozman,267,0,133,2,132
Ashley,HW3,U.S. Senate,,REP,Senator John Boozman,240,0,148,4,88
Ashley,HW2,U.S. Senate,,REP,Senator John Boozman,148,1,94,3,50
Ashley,HW1,U.S. Senate,,REP,Senator John Boozman,34,0,17,0,17
Ashley,HAMBURG RURAL,U.S. Senate,,REP,Senator John Boozman,386,0,257,10,119
Ashley,MT ZION,U.S. Senate,,REP,Senator John Boozman,106,0,69,3,34
Ashley,MILO,U.S. Senate,,REP,Senator John Boozman,240,0,113,5,122
Ashley,BEECH CREEK,U.S. Senate,,REP,Senator John Boozman,16,0,7,0,9
Ashley,MIST,U.S. Senate,,REP,Senator John Boozman,55,1,38,0,16
Ashley,FOUNTAIN HILL CITY,U.S. Senate,,REP,Senator John Boozman,27,1,6,0,20
Ashley,FOUNTAIN HILL RURAL,U.S. Senate,,REP,Senator John Boozman,169,0,58,3,108
Ashley,PORTLAND CITY,U.S. Senate,,REP,Senator John Boozman,87,0,15,4,68
Ashley,PORTLAND RURAL,U.S. Senate,,REP,Senator John Boozman,15,0,2,0,13
Ashley,BOYDELL,U.S. Senate,,REP,Senator John Boozman,4,0,2,0,2
Ashley,SNYDER / TRAFALGAR,U.S. Senate,,REP,Senator John Boozman,32,0,22,1,9
Ashley,MONTROSE CITY,U.S. Senate,,REP,Senator John Boozman,20,0,4,0,16
Ashley,MONTROSE RURAL,U.S. Senate,,REP,Senator John Boozman,2,0,0,0,2
Ashley,PARKDALE CITY,U.S. Senate,,REP,Senator John Boozman,18,0,8,1,9
Ashley,PARKDALE RURAL,U.S. Senate,,REP,Senator John Boozman,4,0,2,0,2
Ashley,WILMOT CITY,U.S. Senate,,REP,Senator John Boozman,33,0,17,0,16
Ashley,WILMOT RURAL,U.S. Senate,,REP,Senator John Boozman,38,0,13,1,24
Ashley,CW1,U.S. Senate,,DEM,Natalie James,177,3,123,10,41
Ashley,CW2,U.S. Senate,,DEM,Natalie James,191,0,120,4,67
Ashley,CW3,U.S. Senate,,DEM,Natalie James,115,0,77,3,35
Ashley,NCE,U.S. Senate,,DEM,Natalie James,45,0,28,0,17
Ashley,NCW,U.S. Senate,,DEM,Natalie James,30,0,12,1,17
Ashley,WCR,U.S. Senate,,DEM,Natalie James,92,0,55,3,34
Ashley,VOTECH,U.S. Senate,,DEM,Natalie James,39,1,25,2,11
Ashley,COOTER,U.S. Senate,,DEM,Natalie James,18,0,9,0,9
Ashley,HICKORY GROVE,U.S. Senate,,DEM,Natalie James,21,0,15,1,5
Ashley,CROSSROADS,U.S. Senate,,DEM,Natalie James,29,0,21,0,8
Ashley,HW3,U.S. Senate,,DEM,Natalie James,35,0,20,3,12
Ashley,HW2,U.S. Senate,,DEM,Natalie James,39,0,22,0,17
Ashley,HW1,U.S. Senate,,DEM,Natalie James,79,2,48,1,28
Ashley,HAMBURG RURAL,U.S. Senate,,DEM,Natalie James,42,0,30,0,12
Ashley,MT ZION,U.S. Senate,,DEM,Natalie James,2,0,2,0,0
Ashley,MILO,U.S. Senate,,DEM,Natalie James,23,0,12,1,10
Ashley,BEECH CREEK,U.S. Senate,,DEM,Natalie James,0,0,0,0,0
Ashley,MIST,U.S. Senate,,DEM,Natalie James,5,0,4,0,1
