county,precinct,office,district,party,candidate,votes,election_day_paper_ballot,absentee,early_vote_ivo_machine,election_day_ivo_machine,early_vote_paper_ballot
Benton,01 Gravette Civic Center,U.S. President,,REP,Rick Santorum,104,15,1,5,83,0
Benton,02 Sulphur Springs Community Building,U.S. President,,REP,Rick Santorum,23,4,0,2,17,0
Benton,03 Monte Ne Baptist Church,U.S. President,,REP,Rick Santorum,62,13,0,15,34,0
Benton,04 Decatur Municipal Building,U.S. President,,REP,Rick Santorum,40,9,0,2,29,0
Benton,05 Prairie Creek Community Center,U.S. President,,REP,Rick Santorum,107,9,0,33,65,0
Benton,06 Gentry Methodist Church,U.S. President,,REP,Rick Santorum,57,1,0,5,51,0
Benton,07 Total Life Community Center,U.S. President,,REP,Rick Santorum,27,0,0,6,21,0
Benton,08 1st Christian - Siloam,U.S. President,,REP,Rick Santorum,49,0,0,10,39,0
Benton,09 Siloam Springs Community Building,U.S. President,,REP,Rick Santorum,87,11,0,27,49,0
Benton,10 Heritage Missionary Baptist Church,U.S. President,,REP,Rick Santorum,39,9,1,13,16,0
Benton,11 St. Marys Catholic Church,U.S. President,,REP,Rick Santorum,101,9,0,31,61,0
Benton,12 Avoca Town Hall,U.S. President,,REP,Rick Santorum,63,9,0,7,47,0
Benton,13 Lost Bridge Village Community Building,U.S. President,,REP,Rick Santorum,21,1,0,1,19,0
Benton,14 Garfield 1st Baptist Church,U.S. President,,REP,Rick Santorum,71,7,2,7,55,0
Benton,15 Springtown Church of Christ,U.S. President,,REP,Rick Santorum,20,2,1,1,16,0
Benton,16 Robinson Community Building,U.S. President,,REP,Rick Santorum,5,1,0,0,4,0
Benton,17 Logan Community Building,U.S. President,,REP,Rick Santorum,7,0,0,1,6,0
Benton,18 Cave Springs Community Building,U.S. President,,REP,Rick Santorum,120,0,0,17,103,0
Benton,19 Highfill Town Hall,U.S. President,,REP,Rick Santorum,20,1,0,0,19,0
Benton,20 Vaughn Presbyterian Church,U.S. President,,REP,Rick Santorum,55,3,1,11,40,0
Benton,21 St. Bernards Catholic Church,U.S. President,,REP,Rick Santorum,32,0,0,6,26,0
Benton,22 New Life Christian Center,U.S. President,,REP,Rick Santorum,165,0,1,45,119,0
Benton,23 Hiwasse Fire Station,U.S. President,,REP,Rick Santorum,25,2,0,3,20,0
Benton,24 Highlands Church,U.S. President,,REP,Rick Santorum,63,12,1,11,39,0
Benton,25 Presbyterian Church of Bella Vista,U.S. President,,REP,Rick Santorum,69,2,0,28,39,0
Benton,26 Bella Vista 1st United Methodist Church,U.S. President,,REP,Rick Santorum,66,1,2,25,38,0
Benton,27 Bella Vista Christian Church,U.S. President,,REP,Rick Santorum,73,2,0,26,45,0
Benton,28 Bella Vista Baptist Church,U.S. President,,REP,Rick Santorum,66,4,1,20,41,0
Benton,29 St. Theodores Episcopal Church,U.S. President,,REP,Rick Santorum,67,9,0,17,41,0
Benton,30 VFW Post 9063,U.S. President,,REP,Rick Santorum,85,2,1,30,52,0
Benton,31 Bella Vista Church of Christ,U.S. President,,REP,Rick Santorum,32,1,1,12,18,0
Benton,32 Bentonville 1st Presbyterian Church,U.S. President,,REP,Rick Santorum,156,18,0,53,85,0
Benton,33 Pea Ridge Emergency Services Building,U.S. President,,REP,Rick Santorum,127,5,0,22,100,0
Benton,34 BentonvilleChurch of Christ,U.S. President,,REP,Rick Santorum,159,1,0,67,91,0
Benton,35 Cornorstone Assembly of God,U.S. President,,REP,Rick Santorum,29,2,0,8,19,0
Benton,36 1st Assembly of God Church,U.S. President,,REP,Rick Santorum,132,2,0,46,83,1
Benton,37 Bentonville First Baptist Church,U.S. President,,REP,Rick Santorum,78,3,0,30,45,0
Benton,38 Hope Church of Northwest Arkansas,U.S. President,,REP,Rick Santorum,83,12,1,23,47,0
Benton,39 Oakley Chapel United Methodist Church,U.S. President,,REP,Rick Santorum,38,0,0,9,29,0
Benton,40 Central United Methodist Church,U.S. President,,REP,Rick Santorum,66,1,0,14,51,0
Benton,41 Little Flock City Hall,U.S. President,,REP,Rick Santorum,49,0,1,7,41,0
Benton,42 Grace Lutheran Church,U.S. President,,REP,Rick Santorum,48,1,0,13,34,0
Benton,43 Rogers 1st Church of the Nazarene,U.S. President,,REP,Rick Santorum,113,8,1,16,88,0
Benton,44 Holy Trinity Lutheran Church,U.S. President,,REP,Rick Santorum,19,0,0,4,15,0
Benton,45 Bland Chapel (Rocky Branch),U.S. President,,REP,Rick Santorum,35,7,1,17,10,0
Benton,46 Colonial Baptist Church,U.S. President,,REP,Rick Santorum,14,1,0,3,10,0
Benton,47 Charity Baptist Church,U.S. President,,REP,Rick Santorum,103,0,0,18,85,0
Benton,48 Bethel Heights City Hall,U.S. President,,REP,Rick Santorum,48,1,0,5,42,0
Benton,49 Lowell First Baptist Church,U.S. President,,REP,Rick Santorum,63,21,0,5,37,0
Benton,50 Faith Christian Fellowship Church,U.S. President,,REP,Rick Santorum,36,4,0,5,27,0
Benton,51 War Eagle Mill,U.S. President,,REP,Rick Santorum,23,4,2,7,10,0
Benton,52 First United Pentecostal Church,U.S. President,,REP,Rick Santorum,28,4,0,5,19,0
Benton,53 Rogers 1st United Methodist Church,U.S. President,,REP,Rick Santorum,53,0,2,23,28,0
Benton,54 1st Christian of Rogers,U.S. President,,REP,Rick Santorum,26,0,0,7,19,0
Benton,55 Southside Church of Christ,U.S. President,,REP,Rick Santorum,47,2,0,7,37,1
Benton,56 Rogers Christian Church,U.S. President,,REP,Rick Santorum,84,12,0,23,49,0
Benton,57 Hickory Creek Fire Station,U.S. President,,REP,Rick Santorum,15,5,0,2,8,0
Benton,01 Gravette Civic Center,U.S. President,,REP,Ron Paul,110,15,3,14,78,0
Benton,02 Sulphur Springs Community Building,U.S. President,,REP,Ron Paul,15,6,0,0,9,0
Benton,03 Monte Ne Baptist Church,U.S. President,,REP,Ron Paul,101,26,0,19,56,0
Benton,04 Decatur Municipal Building,U.S. President,,REP,Ron Paul,36,10,0,2,24,0
Benton,05 Prairie Creek Community Center,U.S. President,,REP,Ron Paul,126,9,0,51,66,0
