county,precinct,office,district,party,candidate,votes,absentee,provisional,early_voting,election_day
Franklin,1-A Ozark Wd.1,U.S. House,4,Dem,Hayden Catherine Shamel,54,0,0,27,27
Franklin,1-B Ozark Wd. 3,U.S. House,4,Dem,Hayden Catherine Shamel,60,3,0,40,17
Franklin,1-C Ozark Wd.2,U.S. House,4,Dem,Hayden Catherine Shamel,0,0,0,0,0
Franklin,2-A Ozark Wd. 2,U.S. House,4,Dem,Hayden Catherine Shamel,87,3,0,57,27
Franklin,2-B Ozark Rural,U.S. House,4,Dem,Hayden Catherine Shamel,7,0,0,3,4
Franklin,2-C Lone Elm/Cravens,U.S. House,4,Dem,Hayden Catherine Shamel,2,0,0,0,2
Franklin,2-D Wallace/Ivy,U.S. House,4,Dem,Hayden Catherine Shamel,3,0,0,3,0
Franklin,2-E Ozark Wd. 3,U.S. House,4,Dem,Hayden Catherine Shamel,32,4,0,17,11
Franklin,3-A Lone Elm/Cravens,U.S. House,4,Dem,Hayden Catherine Shamel,33,5,0,11,17
Franklin,3-B Fern,U.S. House,4,Dem,Hayden Catherine Shamel,9,0,0,7,2
Franklin,3-C Boston,U.S. House,4,Dem,Hayden Catherine Shamel,31,0,0,17,14
Franklin,3-D Jethro,U.S. House,4,Dem,Hayden Catherine Shamel,18,0,0,10,8
Franklin,3-E Watalula,U.S. House,4,Dem,Hayden Catherine Shamel,5,0,0,2,3
Franklin,3-F Mountain,U.S. House,4,Dem,Hayden Catherine Shamel,11,0,0,8,3
Franklin,4-A Philpot,U.S. House,4,Dem,Hayden Catherine Shamel,35,1,0,26,8
Franklin,4-B Watalula,U.S. House,4,Dem,Hayden Catherine Shamel,16,0,0,10,6
Franklin,4-C W-V Rural,U.S. House,4,Dem,Hayden Catherine Shamel,13,0,0,7,6
Franklin,4-D Ozark Rural,U.S. House,4,Dem,Hayden Catherine Shamel,71,1,0,45,25
Franklin,5-A Wallace/Ivy,U.S. House,4,Dem,Hayden Catherine Shamel,56,0,0,34,22
Franklin,5-B Ozark Rural,U.S. House,4,Dem,Hayden Catherine Shamel,3,0,0,1,2
Franklin,5-C Webb City,U.S. House,4,Dem,Hayden Catherine Shamel,64,1,0,25,38
Franklin,6-A Altus Rural,U.S. House,4,Dem,Hayden Catherine Shamel,43,2,0,21,20
Franklin,6-B Altus City,U.S. House,4,Dem,Hayden Catherine Shamel,53,0,0,29,24
Franklin,6-C Denning City,U.S. House,4,Dem,Hayden Catherine Shamel,20,0,0,11,9
Franklin,6-D W.V. City,U.S. House,4,Dem,Hayden Catherine Shamel,3,0,0,2,1
Franklin,7-A Cecil,U.S. House,4,Dem,Hayden Catherine Shamel,19,0,0,13,6
Franklin,7-B Webb City,U.S. House,4,Dem,Hayden Catherine Shamel,17,0,0,9,8
Franklin,7-C Etna,U.S. House,4,Dem,Hayden Catherine Shamel,34,1,0,13,20
Franklin,7-D Donald,U.S. House,4,Dem,Hayden Catherine Shamel,39,1,0,16,22
Franklin,8-A Branch City,U.S. House,4,Dem,Hayden Catherine Shamel,30,3,0,15,12
Franklin,8-B Charleston Wd. 1,U.S. House,4,Dem,Hayden Catherine Shamel,47,1,0,23,23
Franklin,8-C Charleston Rural,U.S. House,4,Dem,Hayden Catherine Shamel,21,0,0,7,14
Franklin,8-D Vesta,U.S. House,4,Dem,Hayden Catherine Shamel,30,1,0,17,12
Franklin,8-E Donald,U.S. House,4,Dem,Hayden Catherine Shamel,5,0,0,5,0
Franklin,8-F Cecil,U.S. House,4,Dem,Hayden Catherine Shamel,5,0,0,3,2
Franklin,8-G Donald,U.S. House,4,Dem,Hayden Catherine Shamel,2,0,0,2,0
Franklin,9-A Charleston Wd. 2,U.S. House,4,Dem,Hayden Catherine Shamel,65,0,0,47,18
Franklin,9-B Charleston Wd. 3,U.S. House,4,Dem,Hayden Catherine Shamel,58,1,0,30,27
Franklin,9-C Charleston Rural,U.S. House,4,Dem,Hayden Catherine Shamel,18,0,0,10,8
Franklin,1-A Ozark Wd.1,U.S. House,4,Rep,Representative Bruce Westerman,191,5,0,115,71
Franklin,1-B Ozark Wd. 3,U.S. House,4,Rep,Representative Bruce Westerman,187,7,0,111,69
