county,precinct,office,district,party,candidate,votes,absentee,provisional,early_voting,election_day
Clark,AMITY CITY,U.S. House,4,LIB,Tom Canada,4,4,0,0,0
Clark,NORTH COUNTY,U.S. House,4,LIB,Tom Canada,6,5,0,1,0
Clark,ARKADELPHIA WARD 1,U.S. House,4,LIB,Tom Canada,1,0,0,1,0
Clark,ARKADELPHIA WARD 2,U.S. House,4,LIB,Tom Canada,3,0,0,3,0
Clark,ARKADELPHIA WARD 3,U.S. House,4,LIB,Tom Canada,10,6,0,4,0
Clark,ARKADELPHIA WARD 4,U.S. House,4,LIB,Tom Canada,15,10,0,5,0
Clark,ARKADELPHIA WARD 5,U.S. House,4,LIB,Tom Canada,8,2,0,6,0
Clark,CADDO VALLEY WARDS 1-3,U.S. House,4,LIB,Tom Canada,7,5,0,2,0
Clark,NORTHEAST COUNTY,U.S. House,4,LIB,Tom Canada,8,5,0,3,0
Clark,CURTIS,U.S. House,4,LIB,Tom Canada,4,3,0,1,0
Clark,CENTRAL,U.S. House,4,LIB,Tom Canada,6,5,0,1,0
Clark,EAST COUNTY,U.S. House,4,LIB,Tom Canada,6,3,0,3,0
Clark,GUM SPRINGS INSIDE/OUTSIDE,U.S. House,4,LIB,Tom Canada,5,3,0,2,0
Clark,GURDON GENERAL,U.S. House,4,LIB,Tom Canada,2,1,0,1,0
Clark,SOUTH COUNTY,U.S. House,4,LIB,Tom Canada,1,0,0,1,0
Clark,WHELEN SPRINGS,U.S. House,4,LIB,Tom Canada,0,0,0,0,0
Clark,GURDON WARDS 1-5,U.S. House,4,LIB,Tom Canada,13,12,0,1,0
Clark,HOLLYWOOD,U.S. House,4,LIB,Tom Canada,2,1,0,1,0
Clark,WEST COUNTY,U.S. House,4,LIB,Tom Canada,5,3,0,2,0
Clark,OKOLONA CITY,U.S. House,4,LIB,Tom Canada,1,1,0,0,0
Clark,AMITY CITY,U.S. House,4,DEM,Hayden Catherine Shamel,29,26,0,3,0
Clark,NORTH COUNTY,U.S. House,4,DEM,Hayden Catherine Shamel,58,30,0,25,3
Clark,ARKADELPHIA WARD 1,U.S. House,4,DEM,Hayden Catherine Shamel,117,52,0,59,6
Clark,ARKADELPHIA WARD 2,U.S. House,4,DEM,Hayden Catherine Shamel,323,113,0,197,13
Clark,ARKADELPHIA WARD 3,U.S. House,4,DEM,Hayden Catherine Shamel,242,95,0,133,14
Clark,ARKADELPHIA WARD 4,U.S. House,4,DEM,Hayden Catherine Shamel,481,192,0,270,19
Clark,ARKADELPHIA WARD 5,U.S. House,4,DEM,Hayden Catherine Shamel,375,127,0,231,17
Clark,CADDO VALLEY WARDS 1-3,U.S. House,4,DEM,Hayden Catherine Shamel,76,35,0,37,4
Clark,NORTHEAST COUNTY,U.S. House,4,DEM,Hayden Catherine Shamel,163,46,0,112,5
Clark,CURTIS,U.S. House,4,DEM,Hayden Catherine Shamel,82,47,0,34,1
Clark,CENTRAL,U.S. House,4,DEM,Hayden Catherine Shamel,114,17,0,88,9
Clark,EAST COUNTY,U.S. House,4,DEM,Hayden Catherine Shamel,223,93,0,124,6
Clark,GUM SPRINGS INSIDE/OUTSIDE,U.S. House,4,DEM,Hayden Catherine Shamel,81,27,0,51,3
Clark,GURDON GENERAL,U.S. House,4,DEM,Hayden Catherine Shamel,46,30,0,15,1
Clark,SOUTH COUNTY,U.S. House,4,DEM,Hayden Catherine Shamel,47,19,0,24,4
Clark,WHELEN SPRINGS,U.S. House,4,DEM,Hayden Catherine Shamel,2,0,0,2,0
Clark,GURDON WARDS 1-5,U.S. House,4,DEM,Hayden Catherine Shamel,220,148,0,64,8
Clark,HOLLYWOOD,U.S. House,4,DEM,Hayden Catherine Shamel,37,13,0,23,1
Clark,WEST COUNTY,U.S. House,4,DEM,Hayden Catherine Shamel,108,45,0,49,14
Clark,OKOLONA CITY,U.S. House,4,DEM,Hayden Catherine Shamel,24,17,0,7,0
Clark,AMITY CITY,U.S. House,4,REP,Representative Bruce Westerman,117,98,0,16,3
Clark,NORTH COUNTY,U.S. House,4,REP,Representative Bruce Westerman,289,213,0,68,8
Clark,ARKADELPHIA WARD 1,U.S. House,4,REP,Representative Bruce Westerman,111,48,0,61,2
Clark,ARKADELPHIA WARD 2,U.S. House,4,REP,Representative Bruce Westerman,247,77,0,160,10
Clark,ARKADELPHIA WARD 3,U.S. House,4,REP,Representative Bruce Westerman,185,77,0,100,8
Clark,ARKADELPHIA WARD 4,U.S. House,4,REP,Representative Bruce Westerman,195,86,0,98,11
Clark,ARKADELPHIA WARD 5,U.S. House,4,REP,Representative Bruce Westerman,430,182,0,238,10
Clark,CADDO VALLEY WARDS 1-3,U.S. House,4,REP,Representative Bruce Westerman,118,78,0,38,2
Clark,NORTHEAST COUNTY,U.S. House,4,REP,Representative Bruce Westerman,420,152,0,257,11
Clark,CURTIS,U.S. House,4,REP,Representative Bruce Westerman,151,94,0,57,0
Clark,CENTRAL,U.S. House,4,REP,Representative Bruce Westerman,298,95,0,193,10
Clark,EAST COUNTY,U.S. House,4,REP,Representative Bruce Westerman,215,107,0,106,2
Clark,GUM SPRINGS INSIDE/OUTSIDE,U.S. House,4,REP,Representative Bruce Westerman,156,74,0,81,1
Clark,GURDON GENERAL,U.S. House,4,REP,Representative Bruce Westerman,162,112,0,48,2
Clark,SOUTH COUNTY,U.S. House,4,REP,Representative Bruce Westerman,140,90,0,49,1
Clark,WHELEN SPRINGS,U.S. House,4,REP,Representative Bruce Westerman,12,11,0,1,0
Clark,GURDON WARDS 1-5,U.S. House,4,REP,Representative Bruce Westerman,240,145,0,91,4
Clark,HOLLYWOOD,U.S. House,4,REP,Representative Bruce Westerman,109,50,0,58,1
Clark,WEST COUNTY,U.S. House,4,REP,Representative Bruce Westerman,141,80,0,56,5
Clark,OKOLONA CITY,U.S. House,4,REP,Representative Bruce Westerman,31,24,0,7,0
Clark,AMITY CITY,U.S. House,4,NON,Write-In,1,1,0,0,0
Clark,NORTH COUNTY,U.S. House,4,NON,Write-In,0,0,0,0,0
Clark,ARKADELPHIA WARD 1,U.S. House,4,NON,Write-In,1,1,0,0,0
Clark,ARKADELPHIA WARD 2,U.S. House,4,NON,Write-In,0,0,0,0,0
