county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee,provisional
Grant,Calvert,U.S. House,4,DEM,Hayden Catherine Shamel,69,44,23,1,1
Grant,Darysaw,U.S. House,4,DEM,Hayden Catherine Shamel,71,42,28,1,0
Grant,Davis,U.S. House,4,DEM,Hayden Catherine Shamel,17,8,9,0,0
Grant,DeKalb 1,U.S. House,4,DEM,Hayden Catherine Shamel,10,8,2,0,0
Grant,DeKalb 2,U.S. House,4,DEM,Hayden Catherine Shamel,40,35,5,0,0
Grant,Fenter,U.S. House,4,DEM,Hayden Catherine Shamel,39,25,14,0,0
Grant,Franklin,U.S. House,4,DEM,Hayden Catherine Shamel,13,7,6,0,0
Grant,Madison,U.S. House,4,DEM,Hayden Catherine Shamel,38,24,12,2,0
Grant,Merry Green 1,U.S. House,4,DEM,Hayden Catherine Shamel,74,21,51,2,0
Grant,Merry Green 2,U.S. House,4,DEM,Hayden Catherine Shamel,56,13,41,2,0
Grant,River,U.S. House,4,DEM,Hayden Catherine Shamel,101,64,37,0,0
Grant,Simpson 1,U.S. House,4,DEM,Hayden Catherine Shamel,55,32,21,2,0
Grant,Simpson 2,U.S. House,4,DEM,Hayden Catherine Shamel,32,18,13,0,1
Grant,Tennessee,U.S. House,4,DEM,Hayden Catherine Shamel,27,23,4,0,0
Grant,Ward 1,U.S. House,4,DEM,Hayden Catherine Shamel,107,32,71,4,0
Grant,Ward 2,U.S. House,4,DEM,Hayden Catherine Shamel,88,31,56,1,0
Grant,Ward 3,U.S. House,4,DEM,Hayden Catherine Shamel,83,26,54,3,0
Grant,Washington,U.S. House,4,DEM,Hayden Catherine Shamel,68,36,31,0,1
Grant,Calvert,U.S. House,4,REP,Representative Bruce Westerman,417,216,193,2,6
Grant,Darysaw,U.S. House,4,REP,Representative Bruce Westerman,138,73,65,0,0
Grant,Davis,U.S. House,4,REP,Representative Bruce Westerman,91,55,36,0,0
Grant,DeKalb 1,U.S. House,4,REP,Representative Bruce Westerman,66,38,28,0,0
Grant,DeKalb 2,U.S. House,4,REP,Representative Bruce Westerman,145,125,17,1,2
Grant,Fenter,U.S. House,4,REP,Representative Bruce Westerman,208,163,42,2,1
Grant,Franklin,U.S. House,4,REP,Representative Bruce Westerman,75,38,37,0,0
Grant,Madison,U.S. House,4,REP,Representative Bruce Westerman,160,106,54,0,0
Grant,Merry Green 1,U.S. House,4,REP,Representative Bruce Westerman,376,132,239,4,1
