county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_1,absentee_2,provisional
Lafayette,Lewisville Ward 1,U.S. House,4,Dem,Hayden Catherine Shamel,44,17,23,0,4,0
Lafayette,Lewisville Ward 2,U.S. House,4,Dem,Hayden Catherine Shamel,26,10,10,0,6,0
Lafayette,Lewisville Ward 3,U.S. House,4,Dem,Hayden Catherine Shamel,126,38,77,0,11,0
Lafayette,"Stamps Ward 1, Pct 1",U.S. House,4,Dem,Hayden Catherine Shamel,17,8,8,0,1,0
Lafayette,"Stamps Ward 1, Pct 2",U.S. House,4,Dem,Hayden Catherine Shamel,64,33,24,0,6,1
Lafayette,Stamps Ward 2,U.S. House,4,Dem,Hayden Catherine Shamel,64,37,25,0,2,0
Lafayette,Stamps Ward 3,U.S. House,4,Dem,Hayden Catherine Shamel,69,28,33,0,8,0
Lafayette,Boyd Hill,U.S. House,4,Dem,Hayden Catherine Shamel,25,10,14,0,1,0
Lafayette,Bradley,U.S. House,4,Dem,Hayden Catherine Shamel,71,54,15,0,1,1
Lafayette,Buckner,U.S. House,4,Dem,Hayden Catherine Shamel,36,16,19,0,1,0
Lafayette,Canfield,U.S. House,4,Dem,Hayden Catherine Shamel,15,3,8,0,4,0
Lafayette,Center,U.S. House,4,Dem,Hayden Catherine Shamel,12,7,3,0,2,0
Lafayette,Gin City,U.S. House,4,Dem,Hayden Catherine Shamel,39,25,10,0,4,0
Lafayette,Mars Hill,U.S. House,4,Dem,Hayden Catherine Shamel,5,0,5,0,0,0
Lafayette,Oak Grove,U.S. House,4,Dem,Hayden Catherine Shamel,1,1,0,0,0,0
Lafayette,Piney Grove,U.S. House,4,Dem,Hayden Catherine Shamel,19,10,8,0,1,0
Lafayette,Red River,U.S. House,4,Dem,Hayden Catherine Shamel,23,11,10,0,2,0
Lafayette,Sardis,U.S. House,4,Dem,Hayden Catherine Shamel,4,2,0,0,2,0
Lafayette,State Line,U.S. House,4,Dem,Hayden Catherine Shamel,14,7,1,0,6,0
Lafayette,Walker Creek,U.S. House,4,Dem,Hayden Catherine Shamel,13,9,2,0,2,0
Lafayette,Lewisville Ward 1 (Out),U.S. House,4,Dem,Hayden Catherine Shamel,12,1,8,0,3,0
Lafayette,"Stamps Ward 1, Pct 2 (Out)",U.S. House,4,Dem,Hayden Catherine Shamel,2,1,1,0,0,0
Lafayette,Stamps Ward 2 (Out),U.S. House,4,Dem,Hayden Catherine Shamel,0,0,0,0,0,0
Lafayette,Buckner (Out),U.S. House,4,Dem,Hayden Catherine Shamel,0,0,0,0,0,0
Lafayette,Bradley (Out),U.S. House,4,Dem,Hayden Catherine Shamel,15,11,4,0,0,0
Lafayette,Lewisville Ward 1,U.S. House,4,Lib,Tom Canada,5,3,2,0,0,0
Lafayette,Lewisville Ward 2,U.S. House,4,Lib,Tom Canada,1,1,0,0,0,0
Lafayette,Lewisville Ward 3,U.S. House,4,Lib,Tom Canada,4,1,3,0,0,0
Lafayette,"Stamps Ward 1, Pct 1",U.S. House,4,Lib,Tom Canada,0,0,0,0,0,0
Lafayette,"Stamps Ward 1, Pct 2",U.S. House,4,Lib,Tom Canada,1,0,1,0,0,0
Lafayette,Stamps Ward 2,U.S. House,4,Lib,Tom Canada,2,1,1,0,0,0
Lafayette,Stamps Ward 3,U.S. House,4,Lib,Tom Canada,2,2,0,0,0,0
Lafayette,Boyd Hill,U.S. House,4,Lib,Tom Canada,3,0,3,0,0,0
Lafayette,Bradley,U.S. House,4,Lib,Tom Canada,1,1,0,0,0,0
Lafayette,Buckner,U.S. House,4,Lib,Tom Canada,1,1,0,0,0,0
Lafayette,Canfield,U.S. House,4,Lib,Tom Canada,2,2,0,0,0,0
Lafayette,Center,U.S. House,4,Lib,Tom Canada,4,0,4,0,0,0
Lafayette,Gin City,U.S. House,4,Lib,Tom Canada,2,2,0,0,0,0
Lafayette,Mars Hill,U.S. House,4,Lib,Tom Canada,0,0,0,0,0,0
Lafayette,Oak Grove,U.S. House,4,Lib,Tom Canada,0,0,0,0,0,0
Lafayette,Piney Grove,U.S. House,4,Lib,Tom Canada,1,0,1,0,0,0
Lafayette,Red River,U.S. House,4,Lib,Tom Canada,2,2,0,0,0,0
Lafayette,Sardis,U.S. House,4,Lib,Tom Canada,2,1,1,0,0,0
Lafayette,State Line,U.S. House,4,Lib,Tom Canada,3,2,1,0,0,0
Lafayette,Walker Creek,U.S. House,4,Lib,Tom Canada,1,1,0,0,0,0
Lafayette,Lewisville Ward 1 (Out),U.S. House,4,Lib,Tom Canada,0,0,0,0,0,0
Lafayette,"Stamps Ward 1, Pct 2 (Out)",U.S. House,4,Lib,Tom Canada,1,0,1,0,0,0
Lafayette,Stamps Ward 2 (Out),U.S. House,4,Lib,Tom Canada,0,0,0,0,0,0
Lafayette,Buckner (Out),U.S. House,4,Lib,Tom Canada,0,0,0,0,0,0
Lafayette,Bradley (Out),U.S. House,4,Lib,Tom Canada,1,1,0,0,0,0
