county,precinct,office,district,party,candidate,votes,election_day,early_voting,election_day_paper,absentee,early_vote_paper
Stone,Arbanna,U.S. House,1,DEM,Chintan Desai,54,7,32,10,3,2
Stone,East Out,U.S. House,1,DEM,Chintan Desai,25,6,15,3,1,0
Stone,Ward 1,U.S. House,1,DEM,Chintan Desai,71,16,44,2,2,7
Stone,Ward 2,U.S. House,1,DEM,Chintan Desai,69,12,47,3,5,2
Stone,Ward 3,U.S. House,1,DEM,Chintan Desai,85,11,62,5,1,6
Stone,West Out,U.S. House,1,DEM,Chintan Desai,33,5,24,4,0,0
Stone,Dodd Mountain,U.S. House,1,DEM,Chintan Desai,74,13,36,16,1,8
Stone,Bethany,U.S. House,1,DEM,Chintan Desai,42,7,17,13,2,3
Stone,Angora Mountain,U.S. House,1,DEM,Chintan Desai,15,0,2,13,0,0
Stone,Pleasant Grove,U.S. House,1,DEM,Chintan Desai,66,27,18,19,2,0
Stone,Foothills,U.S. House,1,DEM,Chintan Desai,103,17,61,15,4,6
Stone,Liberty,U.S. House,1,DEM,Chintan Desai,14,3,6,2,1,2
Stone,Northwest,U.S. House,1,DEM,Chintan Desai,34,13,11,10,0,0
Stone,Old Lexington,U.S. House,1,DEM,Chintan Desai,4,3,1,0,0,0
Stone,Fox,U.S. House,1,DEM,Chintan Desai,113,47,45,15,2,4
Stone,Red Doors,U.S. House,1,DEM,Chintan Desai,115,24,67,15,3,6
Stone,Ben 01,U.S. House,1,DEM,Chintan Desai,5,1,0,4,0,0
Stone,Ben 02,U.S. House,1,DEM,Chintan Desai,0,0,0,0,0,0
Stone,Northeast,U.S. House,1,DEM,Chintan Desai,32,8,18,5,0,1
Stone,Arbanna,U.S. House,1,LIB,Elvis Presley,4,1,1,1,0,1
Stone,East Out,U.S. House,1,LIB,Elvis Presley,3,0,2,1,0,0
Stone,Ward 1,U.S. House,1,LIB,Elvis Presley,3,0,2,1,0,0
Stone,Ward 2,U.S. House,1,LIB,Elvis Presley,10,4,5,0,0,1
Stone,Ward 3,U.S. House,1,LIB,Elvis Presley,11,2,6,2,0,1
Stone,West Out,U.S. House,1,LIB,Elvis Presley,4,1,1,0,0,2
Stone,Dodd Mountain,U.S. House,1,LIB,Elvis Presley,11,7,2,2,0,0
Stone,Bethany,U.S. House,1,LIB,Elvis Presley,2,2,0,0,0,0
Stone,Angora Mountain,U.S. House,1,LIB,Elvis Presley,1,0,0,1,0,0
Stone,Pleasant Grove,U.S. House,1,LIB,Elvis Presley,7,3,1,3,0,0
Stone,Foothills,U.S. House,1,LIB,Elvis Presley,12,3,5,4,0,0
Stone,Liberty,U.S. House,1,LIB,Elvis Presley,2,0,2,0,0,0
Stone,Northwest,U.S. House,1,LIB,Elvis Presley,5,2,3,0,0,0
Stone,Old Lexington,U.S. House,1,LIB,Elvis Presley,3,3,0,0,0,0
Stone,Fox,U.S. House,1,LIB,Elvis Presley,12,4,6,1,0,1
Stone,Red Doors,U.S. House,1,LIB,Elvis Presley,14,4,5,5,0,0
Stone,Ben 01,U.S. House,1,LIB,Elvis Presley,1,0,0,1,0,0
Stone,Ben 02,U.S. House,1,LIB,Elvis Presley,0,0,0,0,0,0
Stone,Northeast,U.S. House,1,LIB,Elvis Presley,2,1,1,0,0,0
Stone,Arbanna,U.S. House,1,REP,Congressman Rick Crawford,162,34,72,50,3,3
Stone,East Out,U.S. House,1,REP,Congressman Rick Crawford,130,27,88,10,0,5
Stone,Ward 1,U.S. House,1,REP,Congressman Rick Crawford,333,90,201,18,4,20
Stone,Ward 2,U.S. House,1,REP,Congressman Rick Crawford,210,73,113,9,1,14
Stone,Ward 3,U.S. House,1,REP,Congressman Rick Crawford,209,40,122,25,2,20
Stone,West Out,U.S. House,1,REP,Congressman Rick Crawford,112,28,65,12,1,6
Stone,Dodd Mountain,U.S. House,1,REP,Congressman Rick Crawford,265,70,126,59,1,9
Stone,Bethany,U.S. House,1,REP,Congressman Rick Crawford,156,52,54,47,1,2
Stone,Angora Mountain,U.S. House,1,REP,Congressman Rick Crawford,25,0,4,21,0,0
Stone,Pleasant Grove,U.S. House,1,REP,Congressman Rick Crawford,244,119,77,44,1,3
Stone,Foothills,U.S. House,1,REP,Congressman Rick Crawford,445,129,228,56,3,29
Stone,Liberty,U.S. House,1,REP,Congressman Rick Crawford,80,21,39,16,0,4
Stone,Northwest,U.S. House,1,REP,Congressman Rick Crawford,166,54,80,22,2,8
Stone,Old Lexington,U.S. House,1,REP,Congressman Rick Crawford,29,26,1,1,1,0
Stone,Fox,U.S. House,1,REP,Congressman Rick Crawford,287,137,98,45,2,5
Stone,Red Doors,U.S. House,1,REP,Congressman Rick Crawford,292,94,129,51,5,13
Stone,Ben 01,U.S. House,1,REP,Congressman Rick Crawford,75,56,5,13,1,0
Stone,Ben 02,U.S. House,1,REP,Congressman Rick Crawford,12,4,4,4,0,0
Stone,Northeast,U.S. House,1,REP,Congressman Rick Crawford,114,31,66,8,0,9
Stone,Arbanna,Governor,,LIB,Mark West,5,1,3,1,0,0
Stone,East Out,Governor,,LIB,Mark West,4,1,3,0,0,0
Stone,Ward 1,Governor,,LIB,Mark West,16,4,11,0,0,1
Stone,Ward 2,Governor,,LIB,Mark West,8,4,3,0,0,1
Stone,Ward 3,Governor,,LIB,Mark West,16,2,11,2,0,1
Stone,West Out,Governor,,LIB,Mark West,9,4,2,1,0,2
Stone,Dodd Mountain,Governor,,LIB,Mark West,12,5,4,2,1,0
Stone,Bethany,Governor,,LIB,Mark West,18,8,9,1,0,0
Stone,Angora Mountain,Governor,,LIB,Mark West,4,0,0,4,0,0
Stone,Pleasant Grove,Governor,,LIB,Mark West,12,6,2,2,0,2
Stone,Foothills,Governor,,LIB,Mark West,17,4,7,5,0,1
Stone,Liberty,Governor,,LIB,Mark West,6,0,4,2,0,0
Stone,Northwest,Governor,,LIB,Mark West,8,4,2,2,0,0
Stone,Old Lexington,Governor,,LIB,Mark West,3,3,0,0,0,0
Stone,Fox,Governor,,LIB,Mark West,20,10,8,2,0,0
Stone,Red Doors,Governor,,LIB,Mark West,20,4,7,6,1,2
Stone,Ben 01,Governor,,LIB,Mark West,2,2,0,0,0,0
Stone,Ben 02,Governor,,LIB,Mark West,0,0,0,0,0,0
Stone,Northeast,Governor,,LIB,Mark West,4,0,2,0,0,2
Stone,Arbanna,Governor,,REP,Governor Asa Hutchinson,151,26,66,53,3,3
Stone,East Out,Governor,,REP,Governor Asa Hutchinson,131,27,88,11,0,5
Stone,Ward 1,Governor,,REP,Governor Asa Hutchinson,328,89,196,19,4,20
Stone,Ward 2,Governor,,REP,Governor Asa Hutchinson,219,74,120,10,1,14
Stone,Ward 3,Governor,,REP,Governor Asa Hutchinson,209,43,117,24,2,23
