county,precinct,office,district,party,candidate,votes,election_day,absentee,early_vote_horseshoe_bend,provisional,early_vote_ozarka
Izard,BIG SPRING,U.S. House,1,REP,Congressman Rick Crawford,64,34,0,0,0,30
Izard,BOSWELL,U.S. House,1,REP,Congressman Rick Crawford,54,28,1,0,0,25
Izard,BROCKWELL,U.S. House,1,REP,Congressman Rick Crawford,95,55,0,0,0,40
Izard,CALICO ROCK RURAL,U.S. House,1,REP,Congressman Rick Crawford,110,74,11,0,0,25
Izard,CALICO ROCK - WARD 1,U.S. House,1,REP,Congressman Rick Crawford,35,26,1,0,0,8
Izard,CALICO ROCK - WARD 2,U.S. House,1,REP,Congressman Rick Crawford,99,76,5,0,0,18
Izard,CALICO ROCK - WARD 3,U.S. House,1,REP,Congressman Rick Crawford,86,60,0,0,1,25
Izard,CALICO ROCK - WARD 4,U.S. House,1,REP,Congressman Rick Crawford,65,52,2,0,0,11
Izard,CLAIBORNE,U.S. House,1,REP,Congressman Rick Crawford,33,25,2,0,0,6
Izard,DOLPH,U.S. House,1,REP,Congressman Rick Crawford,56,54,0,0,0,2
Izard,FRANKLIN CITY,U.S. House,1,REP,Congressman Rick Crawford,66,59,0,0,0,7
Izard,FRANKLIN RURAL,U.S. House,1,REP,Congressman Rick Crawford,39,28,0,2,0,9
Izard,GID,U.S. House,1,REP,Congressman Rick Crawford,84,51,2,0,0,31
Izard,GUION CITY,U.S. House,1,REP,Congressman Rick Crawford,28,15,2,0,0,11
Izard,GUION RURAL,U.S. House,1,REP,Congressman Rick Crawford,6,3,0,0,0,3
Izard,HORSESHOE BEND RURAL,U.S. House,1,REP,Congressman Rick Crawford,9,9,0,0,0,0
Izard,HORSESHOE BEND - WARD 1,U.S. House,1,REP,Congressman Rick Crawford,53,29,0,19,0,5
Izard,HORSESHOE BEND - WARD 2,U.S. House,1,REP,Congressman Rick Crawford,195,101,7,64,0,23
Izard,HORSESHOE BEND - WARD 3,U.S. House,1,REP,Congressman Rick Crawford,123,60,4,44,0,15
Izard,HORSESHOE BEND - WARD 4,U.S. House,1,REP,Congressman Rick Crawford,215,82,3,95,0,35
Izard,KNOB CREEK,U.S. House,1,REP,Congressman Rick Crawford,21,9,0,0,0,12
Izard,LACROSSE,U.S. House,1,REP,Congressman Rick Crawford,49,17,0,0,0,32
Izard,LAFFERTY,U.S. House,1,REP,Congressman Rick Crawford,12,6,1,0,0,5
Izard,LARKIN,U.S. House,1,REP,Congressman Rick Crawford,29,11,0,0,0,18
Izard,MELBOURNE RURAL,U.S. House,1,REP,Congressman Rick Crawford,132,52,11,0,0,69
Izard,MELBOURNE - WARD 1,U.S. House,1,REP,Congressman Rick Crawford,129,35,2,0,1,91
Izard,MELBOURNE - WARD 2,U.S. House,1,REP,Congressman Rick Crawford,113,24,5,0,0,84
Izard,MELBOURNE - WARD 3,U.S. House,1,REP,Congressman Rick Crawford,75,20,2,0,0,53
Izard,MELBOURNE - WARD 4,U.S. House,1,REP,Congressman Rick Crawford,180,57,3,0,0,120
Izard,MOUNT PLEASANT CITY,U.S. House,1,REP,Congressman Rick Crawford,136,79,0,0,0,57
