county,precinct,office,district,party,candidate,votes,election_day,early_vote,absentee,provisional
Lincoln,Auburn,Governor,,REP,Governor Asa Hutchinson,20,9,9,0,2
Lincoln,Bar/Tarry,Governor,,REP,Governor Asa Hutchinson,20,15,5,0,0
Lincoln,Bar/Yorktown,Governor,,REP,Governor Asa Hutchinson,59,33,26,0,0
Lincoln,Cane Creek 1,Governor,,REP,Governor Asa Hutchinson,373,191,180,2,0
Lincoln,Cane Creek 2,Governor,,REP,Governor Asa Hutchinson,91,39,47,5,0
Lincoln,Choctaw,Governor,,REP,Governor Asa Hutchinson,17,13,4,0,0
Lincoln,Kimbrough,Governor,,REP,Governor Asa Hutchinson,12,11,1,0,0
Lincoln,Lone Pine/Garnett,Governor,,REP,Governor Asa Hutchinson,85,69,15,1,0
Lincoln,Lone Pine/Mt. Home,Governor,,REP,Governor Asa Hutchinson,83,52,27,4,0
Lincoln,Mill Creek,Governor,,REP,Governor Asa Hutchinson,58,47,11,0,0
Lincoln,Owen/Glendale,Governor,,REP,Governor Asa Hutchinson,148,109,39,0,0
Lincoln,Owen/Palmyra,Governor,,REP,Governor Asa Hutchinson,141,96,43,0,2
Lincoln,Smith,Governor,,REP,Governor Asa Hutchinson,74,42,30,2,0
Lincoln,Spring 1,Governor,,REP,Governor Asa Hutchinson,154,112,42,0,0
Lincoln,Spring 2,Governor,,REP,Governor Asa Hutchinson,16,9,7,0,0
Lincoln,SE Lincoln Co FD,Governor,,REP,Governor Asa Hutchinson,53,39,10,4,0
Lincoln,Wells Bayou/FS,Governor,,REP,Governor Asa Hutchinson,56,46,10,0,0
Lincoln,Gould,Governor,,REP,Governor Asa Hutchinson,31,23,8,0,0
Lincoln,Gould City W1,Governor,,REP,Governor Asa Hutchinson,32,17,12,3,0
Lincoln,Gould City W2,Governor,,REP,Governor Asa Hutchinson,12,9,3,0,0
Lincoln,Gould City W3,Governor,,REP,Governor Asa Hutchinson,21,10,11,0,0
Lincoln,Grady City W1& W2,Governor,,REP,Governor Asa Hutchinson,51,44,3,4,0
Lincoln,Star City W1,Governor,,REP,Governor Asa Hutchinson,149,65,79,5,0
Lincoln,Star City W2,Governor,,REP,Governor Asa Hutchinson,107,39,63,5,0
Lincoln,Star City W3,Governor,,REP,Governor Asa Hutchinson,233,124,103,6,0
Lincoln,Cane Creek 3,Governor,,REP,Governor Asa Hutchinson,131,70,59,2,0
Lincoln,Auburn,Governor,,DEM,Jared K. Henderson,8,8,0,0,0
Lincoln,Bar/Tarry,Governor,,DEM,Jared K. Henderson,60,56,3,1,0
Lincoln,Bar/Yorktown,Governor,,DEM,Jared K. Henderson,81,51,27,0,3
Lincoln,Cane Creek 1,Governor,,DEM,Jared K. Henderson,40,20,19,1,0
Lincoln,Cane Creek 2,Governor,,DEM,Jared K. Henderson,10,3,7,0,0
Lincoln,Choctaw,Governor,,DEM,Jared K. Henderson,16,15,1,0,0
Lincoln,Kimbrough,Governor,,DEM,Jared K. Henderson,12,9,3,0,0
Lincoln,Lone Pine/Garnett,Governor,,DEM,Jared K. Henderson,10,9,1,0,0
Lincoln,Lone Pine/Mt. Home,Governor,,DEM,Jared K. Henderson,20,13,6,0,1
Lincoln,Mill Creek,Governor,,DEM,Jared K. Henderson,11,9,2,0,0
Lincoln,Owen/Glendale,Governor,,DEM,Jared K. Henderson,17,13,4,0,0
Lincoln,Owen/Palmyra,Governor,,DEM,Jared K. Henderson,16,12,4,0,0
Lincoln,Smith,Governor,,DEM,Jared K. Henderson,8,7,1,0,0
Lincoln,Spring 1,Governor,,DEM,Jared K. Henderson,16,8,6,1,1
Lincoln,Spring 2,Governor,,DEM,Jared K. Henderson,9,4,5,0,0
