county,precinct,office,district,party,candidate,votes,early_vote_south,absentee,provisional,election_day,early_vote_north
Arkansas,MCFALL,U.S. Congress District 1,,DEM,Chintan Desai,7,0,0,0,4,3
Arkansas,CROCKETT,U.S. Congress District 1,,DEM,Chintan Desai,7,5,0,0,1,1
Arkansas,KEATON,U.S. Congress District 1,,DEM,Chintan Desai,50,10,0,0,16,24
Arkansas,MILL BAYOU,U.S. Congress District 1,,DEM,Chintan Desai,9,0,0,0,7,2
Arkansas,ALMYRA,U.S. Congress District 1,,DEM,Chintan Desai,9,2,0,0,7,0
Arkansas,PRAIRIE,U.S. Congress District 1,,DEM,Chintan Desai,21,9,0,0,12,0
Arkansas,LAGRUE,U.S. Congress District 1,,DEM,Chintan Desai,35,23,1,0,11,0
Arkansas,ST. CHARLES,U.S. Congress District 1,,DEM,Chintan Desai,4,3,0,0,1,0
Arkansas,CHESTER,U.S. Congress District 1,,DEM,Chintan Desai,7,1,0,0,6,0
Arkansas,ARKANSAS,U.S. Congress District 1,,DEM,Chintan Desai,13,8,0,0,5,0
Arkansas,STANLEY,U.S. Congress District 1,,DEM,Chintan Desai,5,2,0,0,3,0
Arkansas,GILLETT WARD 1,U.S. Congress District 1,,DEM,Chintan Desai,14,2,0,0,12,0
Arkansas,GILLETT WARD 2,U.S. Congress District 1,,DEM,Chintan Desai,11,3,1,0,7,0
Arkansas,GILLETT WARD 3,U.S. Congress District 1,,DEM,Chintan Desai,24,5,0,0,19,0
Arkansas,PT DELUCE,U.S. Congress District 1,,DEM,Chintan Desai,8,5,0,0,3,0
Arkansas,BAYOU METO,U.S. Congress District 1,,DEM,Chintan Desai,7,5,0,0,1,1
Arkansas,MORRIS,U.S. Congress District 1,,DEM,Chintan Desai,6,0,0,0,1,5
Arkansas,GUM POND,U.S. Congress District 1,,DEM,Chintan Desai,20,0,1,0,7,12
Arkansas,BARTON,U.S. Congress District 1,,DEM,Chintan Desai,4,0,0,0,1,3
Arkansas,HENTON,U.S. Congress District 1,,DEM,Chintan Desai,14,0,0,0,7,7
Arkansas,BREWER,U.S. Congress District 1,,DEM,Chintan Desai,2,0,0,0,1,1
Arkansas,GARLAND,U.S. Congress District 1,,DEM,Chintan Desai,7,4,0,0,2,1
Arkansas,HUMPHREY WARD 1,U.S. Congress District 1,,DEM,Chintan Desai,38,0,0,0,35,3
Arkansas,HUMPHREY WARD 3,U.S. Congress District 1,,DEM,Chintan Desai,7,0,0,0,6,1
Arkansas,DEWITT WARD 1,U.S. Congress District 1,,DEM,Chintan Desai,90,49,1,0,39,1
Arkansas,DEWITT WARD 2,U.S. Congress District 1,,DEM,Chintan Desai,51,30,1,0,20,0
Arkansas,DEWITT WARD 3,U.S. Congress District 1,,DEM,Chintan Desai,57,30,1,0,25,1
Arkansas,STUTTGART WARD 1,U.S. Congress District 1,,DEM,Chintan Desai,395,0,4,0,119,272
Arkansas,STUTTGART WARD 2,U.S. Congress District 1,,DEM,Chintan Desai,259,0,4,0,74,181
Arkansas,STUTTGART WARD 3,U.S. Congress District 1,,DEM,Chintan Desai,225,0,7,0,63,155
Arkansas,MCFALL,U.S. Congress District 1,,REP,Congressman Rick Crawford,25,0,0,0,7,18
Arkansas,CROCKETT,U.S. Congress District 1,,REP,Congressman Rick Crawford,33,11,0,0,20,2
Arkansas,KEATON,U.S. Congress District 1,,REP,Congressman Rick Crawford,157,35,3,0,52,67
Arkansas,MILL BAYOU,U.S. Congress District 1,,REP,Congressman Rick Crawford,69,5,1,0,49,14
Arkansas,ALMYRA,U.S. Congress District 1,,REP,Congressman Rick Crawford,72,8,0,0,57,7
Arkansas,PRAIRIE,U.S. Congress District 1,,REP,Congressman Rick Crawford,118,63,1,0,54,0
Arkansas,LAGRUE,U.S. Congress District 1,,REP,Congressman Rick Crawford,289,214,0,0,74,1
Arkansas,ST. CHARLES,U.S. Congress District 1,,REP,Congressman Rick Crawford,58,17,0,0,41,0
Arkansas,CHESTER,U.S. Congress District 1,,REP,Congressman Rick Crawford,67,29,0,0,38,0
Arkansas,ARKANSAS,U.S. Congress District 1,,REP,Congressman Rick Crawford,22,10,1,0,11,0
Arkansas,STANLEY,U.S. Congress District 1,,REP,Congressman Rick Crawford,2,0,0,0,2,0
Arkansas,GILLETT WARD 1,U.S. Congress District 1,,REP,Congressman Rick Crawford,53,12,0,0,41,0
Arkansas,GILLETT WARD 2,U.S. Congress District 1,,REP,Congressman Rick Crawford,81,24,0,0,57,0
Arkansas,GILLETT WARD 3,U.S. Congress District 1,,REP,Congressman Rick Crawford,26,6,0,0,20,0
Arkansas,PT DELUCE,U.S. Congress District 1,,REP,Congressman Rick Crawford,68,45,0,0,23,0
Arkansas,BAYOU METO,U.S. Congress District 1,,REP,Congressman Rick Crawford,51,33,0,0,13,5
Arkansas,MORRIS,U.S. Congress District 1,,REP,Congressman Rick Crawford,71,1,0,0,32,38
Arkansas,GUM POND,U.S. Congress District 1,,REP,Congressman Rick Crawford,85,0,0,0,29,56
Arkansas,BARTON,U.S. Congress District 1,,REP,Congressman Rick Crawford,48,2,0,0,23,23
Arkansas,HENTON,U.S. Congress District 1,,REP,Congressman Rick Crawford,60,3,0,0,41,16
