county,precinct,office,district,party,candidate,votes,election_day,early_vote,absentee,provisional
Johnson,BATSON,U.S. House,4,DEM,Hayden Catherine Shamel,88,35,11,42,0
Johnson,DICKERSON-HILL,U.S. House,4,DEM,Hayden Catherine Shamel,2,0,2,0,0
Johnson,GRANT,U.S. House,4,DEM,Hayden Catherine Shamel,144,73,1,70,0
Johnson,HICKEY,U.S. House,4,DEM,Hayden Catherine Shamel,157,77,0,80,0
Johnson,HORSEHEAD,U.S. House,4,DEM,Hayden Catherine Shamel,278,151,4,123,0
Johnson,HOWELL,U.S. House,4,DEM,Hayden Catherine Shamel,39,11,1,26,1
Johnson,KING,U.S. House,4,DEM,Hayden Catherine Shamel,140,108,2,30,0
Johnson,LEE,U.S. House,4,DEM,Hayden Catherine Shamel,0,0,0,0,0
Johnson,LOWGAP,U.S. House,4,DEM,Hayden Catherine Shamel,0,0,0,0,0
Johnson,MCKENNON,U.S. House,4,DEM,Hayden Catherine Shamel,3,0,2,0,1
Johnson,MULBERRY,U.S. House,4,DEM,Hayden Catherine Shamel,0,0,0,0,0
Johnson,PERRY,U.S. House,4,DEM,Hayden Catherine Shamel,51,20,0,31,0
Johnson,PITTSBURG,U.S. House,4,DEM,Hayden Catherine Shamel,139,63,4,72,0
Johnson,PRAIRIE,U.S. House,4,DEM,Hayden Catherine Shamel,26,23,3,0,0
Johnson,REDLICK,U.S. House,4,DEM,Hayden Catherine Shamel,59,26,4,29,0
Johnson,SHERMAN,U.S. House,4,DEM,Hayden Catherine Shamel,2,0,1,0,1
Johnson,SPADRA WARD 1,U.S. House,4,DEM,Hayden Catherine Shamel,254,139,14,99,2
Johnson,SPADRA WARD 2,U.S. House,4,DEM,Hayden Catherine Shamel,359,265,11,83,0
Johnson,SPADRA WARD 3,U.S. House,4,DEM,Hayden Catherine Shamel,154,54,16,84,0
Johnson,SPADRA WARD 4,U.S. House,4,DEM,Hayden Catherine Shamel,44,17,8,18,1
Johnson,STONEWALL,U.S. House,4,DEM,Hayden Catherine Shamel,0,0,0,0,0
Johnson,WARD,U.S. House,4,DEM,Hayden Catherine Shamel,57,35,2,20,0
Johnson,BATSON,U.S. House,4,REP,Representative Bruce Westerman,294,123,11,160,0
Johnson,DICKERSON-HILL,U.S. House,4,REP,Representative Bruce Westerman,2,0,2,0,0
Johnson,GRANT,U.S. House,4,REP,Representative Bruce Westerman,365,182,0,183,0
Johnson,HICKEY,U.S. House,4,REP,Representative Bruce Westerman,592,272,4,316,0
