county,precinct,office,district,party,candidate,votes,absentee,provisional,early_vote,election_day
Ashley,CW1,U.S. Congress District 4,,LIB,Tom Canada,9,5,0,3,1
Ashley,CW2,U.S. Congress District 4,,LIB,Tom Canada,7,3,0,4,0
Ashley,CW3,U.S. Congress District 4,,LIB,Tom Canada,8,6,0,2,0
Ashley,NCE,U.S. Congress District 4,,LIB,Tom Canada,3,2,0,1,0
Ashley,NCW,U.S. Congress District 4,,LIB,Tom Canada,1,1,0,0,0
Ashley,WCR,U.S. Congress District 4,,LIB,Tom Canada,3,1,0,2,0
Ashley,VOTECH,U.S. Congress District 4,,LIB,Tom Canada,3,2,0,1,0
Ashley,COOTER,U.S. Congress District 4,,LIB,Tom Canada,1,0,0,1,0
Ashley,HICKORY GROVE,U.S. Congress District 4,,LIB,Tom Canada,2,2,0,0,0
Ashley,CROSSROADS,U.S. Congress District 4,,LIB,Tom Canada,3,2,0,1,0
Ashley,HW3,U.S. Congress District 4,,LIB,Tom Canada,4,4,0,0,0
Ashley,HW2,U.S. Congress District 4,,LIB,Tom Canada,4,0,0,4,0
Ashley,HW1,U.S. Congress District 4,,LIB,Tom Canada,6,1,0,5,0
Ashley,HAMBURG RURAL,U.S. Congress District 4,,LIB,Tom Canada,10,3,0,7,0
Ashley,MT ZION,U.S. Congress District 4,,LIB,Tom Canada,2,1,0,1,0
Ashley,MILO,U.S. Congress District 4,,LIB,Tom Canada,3,2,0,1,0
Ashley,BEECH CREEK,U.S. Congress District 4,,LIB,Tom Canada,1,0,0,1,0
Ashley,MIST,U.S. Congress District 4,,LIB,Tom Canada,0,0,0,0,0
Ashley,FH CITY,U.S. Congress District 4,,LIB,Tom Canada,1,1,0,0,0
Ashley,FH RURAL,U.S. Congress District 4,,LIB,Tom Canada,1,1,0,0,0
Ashley,PORTLAND CITY,U.S. Congress District 4,,LIB,Tom Canada,2,1,0,1,0
Ashley,PORTLAND RURAL,U.S. Congress District 4,,LIB,Tom Canada,2,2,0,0,0
Ashley,BOYDELL,U.S. Congress District 4,,LIB,Tom Canada,0,0,0,0,0
Ashley,SNY/TRA,U.S. Congress District 4,,LIB,Tom Canada,0,0,0,0,0
Ashley,MONTROSE CITY,U.S. Congress District 4,,LIB,Tom Canada,3,3,0,0,0
